hostile: bermusuhan  
hostility: permusuhan  
humble: rendah hati  
humbled: direndahkan  
humiliate: menghina  
humiliating: memalukan  
humiliation: penghinaan  
humility: kerendahan hati  
humorous: lucu  
hurt: menyakiti  
hurtful: menyakitkan  
hurting: menyakitkan  
idolatry: penyembahan berhala  
ignorant: bodoh  
ill: sakit  
impatient: tidak sabar  
impolite: tidak sopan  
indifferent: acuh tak acuh  
indignation: kemarahan  
infatuation: ketersesatan  
inferior: rendah  
infuriate: membuat marah  
inhuman: tidak manusiawi  
inhumanity: kekejaman  
iniquity: kejahatan  
insecure: tidak aman  
insecurity: ketidakamanan  
insidious: licik  
insult: menghina  
insulting: menghina  
integrity: integritas  
intense: intens  
intimidate: mengintimidasi  
intimidation: intimidasi  
intolerable: tak tertahankan  
intolerance: intoleransi  
intolerant: tidak toleran  
intoxicated: mabuk  
intrigue: intrik  
intuition: intuisi  
intuitively: secara intuitif  
inviting: mengundang  
ire: amarah  
irate: marah  
irritability: sifat lekas marah  
irritable: mudah tersinggung  
irritating: menjengkelkan  
irritation: gangguan  
isolated: terisolasi  
isolation: isolasi  
jealous: cemburu  
jealousy: kecemburuan  
jeopardy: bahaya  
jovial: riang  
joy: sukacita  
joyful: gembira  
joyous: bersukacita  
jubilant: gembira  
jubilation: kegembiraan  
kind: baik  
lament: meratapi  
lamenting: meratap  
laugh: tertawa  
laughable: menggelikan  
laughing: tertawa  
laughter: tawa  
like: suka  
liking: kesukaan  
loath: enggan  
loathe: benci  
loathing: kebencian  
loathsome: menjijikkan  
lone: sendirian  
loneliness: kesepian  
lonely: kesepian  
lonesome: kesepian  
longing: kerinduan  
love: cinta  
lovely: cantik  
lover: kekasih  
loving: penuh kasih  
loyal: setia  
loyalty: kesetiaan  
luck: keberuntungan  
lucky: beruntung  
lunacy: kegilaan  
lunatic: gila  
lust: nafsu  
mad: marah  
madden: membuat marah  
madness: kegilaan  
malice: niat jahat  
malicious: jahat  
malign: memfitnah  
mania: mania  
manic: manik  
melancholic: melankolis  
melancholy: melankoli  
mercy: belas kasihan  
merriment: keceriaan  
merry: riang  
miserable: sengsara  
miserably: dengan menyedihkan  
misery: penderitaan  
misfortune: kemalangan  
misguided: sesat  
mishap: musibah  
mislead: menyesatkan  
misleading: menyesatkan  
mistrust: ketidakpercayaan  
mockery: ejekan  
mocking: mengejek  
modest: sederhana  
moody: murung  
morose: muram  
mourn: berduka  
mournful: dukacita  
mourning: perkabungan  
mysterious: misterius  
nervous: gugup  
nervousness: kegugupan  
noble: mulia  
nostalgia: nostalgia  
offend: menyinggung  
offended: tersinggung  
offender: pelaku  
optimism: optimisme  
optimist: optimis  
outrage: kemarahan  
outrageous: keterlaluan  
pain: sakit  
pained: kesakitan  
painful: menyakitkan  
painfully: dengan menyakitkan  
panic: panik  
passion: gairah  
passionate: bergairah  
pathetic: menyedihkan  
patience: kesabaran  
patient: sabar  
peace: damai  
peaceful: damai  
pensive: termenung  
perplexity: kebingungan  
persecute: menganiaya  
persecution: penganiayaan  
pessimism: pesimisme  
pessimist: pesimis  
pity: kasihan  
pleasurable: menyenangkan  
pride: kebanggaan  
rage: amarah  
rapture: kegembiraan  
raving: mengigau  
regret: penyesalan  
regrettable: disesalkan  
rejoice: bersukacita  
rejoicing: bersukaria  
relief: kelegaan  
reluctant: enggan  
remorse: penyesalan  
repent: bertobat  
resent: membenci  
resentful: kesal  
resentment: kebencian  
resigned: pasrah  
resolute: teguh  
respect: menghormati  
respectable: terhormat  
respectful: hormat  
restless: gelisah  
restlessness: kegelisahan  
revel: berpesta  
revenge: balas dendam  
revere: menghormati  
reverence: penghormatan  
revulsion: kejijikan  
sad: sedih  
sadly: sedih  
sadness: kesedihan  
satisfied: puas  
scare: menakutkan  
scorn: hinaan  
scream: jeritan  
screaming: berteriak  
selfish: egois  
sentiment: sentimen  
serene: tenang  
serenity: ketenangan  
shame: malu  
shameful: memalukan  
shameless: tak tahu malu  
shock: syok  
shockingly: mengejutkan  
shy: pemalu  
sickening: memuakkan  
silly: konyol  
sin: dosa  
sincere: tulus  
sinful: berdosa  
sinister: jahat  
sinner: pendosa  
skeptical: skeptis  
slam: membanting  
slander: fitnah  
smile: senyum  
smiling: tersenyum  
sorrow: kesedihan  
sorrowful: berduka  
spite: dengki  
spiteful: pendendam  
startle: mengejutkan  
startling: mengejutkan  
stigma: aib  
sting: menyengat  
stingy: pelit  
stunned: terpana  
suffering: penderitaan  
sullen: cemberut  
surprise: kejutan  
surprised: terkejut  
surprising: mengejutkan  
suspicion: kecurigaan  
suspicious: mencurigakan  
sympathetic: simpatik  
sympathize: bersimpati  
sympathy: simpati  
terror: teror  
terrorism: terorisme  
terrorist: teroris  
terrorize: meneror  
thankful: bersyukur  
thrill: sensasi  
thrilling: mendebarkan  
thwart: menggagalkan  
timid: pemalu  
timidity: rasa malu  
tired: lelah  
tolerance: toleransi  
tolerate: mentolerir  
torment: siksaan  
torture: penyiksaan  
touched: tersentuh  
touching: mengharukan  
toughness: ketangguhan  
tranquil: tenang  
tranquility: ketenangan  
trauma: trauma  
traumatic: traumatis  
treacherous: khianat  
treachery: pengkhianatan  
tremble: gemetar  
trembling: gemetaran  
tremor: tremor  
trepidation: kegelisahan  
tribulation: kesusahan  
triumph: kemenangan  
triumphant: jaya  
troubled: bermasalah  
trust: percaya  
trustee: wali  
ugliness: keburukan  
ugly: buruk  
uneasiness: kegelisahan  
uneasy: gelisah  
unhappiness: ketidakbahagiaan  
unhappy: tidak bahagia  
unhealthy: tidak sehat  
unrest: keresahan  
upset: kesal  
vengeance: balas dendam  
vengeful: pendendam  
venerate: memuliakan  
veneration: pemuliaan  
vicious: jahat  
victorious: menang  
victory: kemenangan  
vigilance: kewaspadaan  
vile: keji  
villainous: jahat  
vindicate: membela  
vindication: pembelaan  
vindictive: pendendam  
violence: kekerasan  
violent: kasar  
virulent: ganas  
vitality: vitalitas  
vivacious: bersemangat  
volatile: mudah berubah  
vulnerability: kerentanan  
vulnerable: rentan  
wail: meratap  
wanting: menginginkan  
war: perang  
wary: waspada  
weary: lelah  
weep: menangis  
weeping: tangisan  
weird: aneh  
welcome: menyambut  
welcomed: disambut  
wicked: jahat  
wickedness: kejahatan  
woe: celaka  
woeful: menyedihkan  
woefully: dengan menyedihkan  
wonder: heran  
wonderful: indah  
wonderfully: dengan indah  
worry: kekhawatiran  
worrying: mengkhawatirkan  
worried: khawatir  
worthless: tak berharga  
worthy: layak  
wrath: murka  
wretched: sengsara  
yearning: kerinduan  
yell: berteriak  
zeal: semangat  
zealous: bersemangat
