text,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
Bonus demografi = mana action kalian yang diatas ? Yang dibawah banyak pemuda putus sekolah dan dapat kerjaan yang layak sangat susah...🥲 Yang diatas bancakan uang proyek dan give away jabatan kaya negara ini punya nenek moyang anda sendiri...😟,0,0,0,0,1,1,1,0
Bonus demografi❎ Bonus menang Vote wapres modal bapak✍️🔥,0,0,0,0,0,0,0,1
Bpknya aj ngomong inden 6000 unit 10 thn lalu g ad buktinya masak kalian percaya jga ocehan anaknya😂😂😂,1,0,0,0,0,0,0,0
Bukan penonton pertama tapi penonton setia😊,1,1,0,0,0,0,0,0
Buzzer udah pada nyerah kayaknya membela beliau ini di konten ini. Netizen terlalu membludak 😂,1,0,0,0,0,0,0,0
CHAEHA LUCU BANGET 😍😍😍😍😍,1,0,0,0,0,0,0,0
Cb di dgr2 lg dy bicara pengen pnya ank nd bikin anak..tp malaj nangis2.lucu akh saya jg ntnya😅,1,0,0,0,0,0,0,1
"Cocok nih lagunya dipake CIA buat introgasi teroris, dijamin langsung ngaku tuh terorisnya😂😂",1,0,0,0,0,0,0,0
"Cukup sedetik aja videonya, buat dislike orang BODOH yang dapet jabatan lewat ngecheat konstitusi 😂",0,0,0,0,0,1,1,0
Dari kaskus pindah ke youtube😂,1,0,0,0,0,0,0,0
"Dari penjelasan di video itu, sayangnya rakyat tak sebodoh wapresnya mau menerima apa yg disampaikan wapres😂😂😂",0,0,0,0,0,0,1,0
"Dari sekian komentar akhirnya ada orang yg satu pemikiran😢 cuma takut ada yg salah tanggap dengan menormalisasikan doang,, saya doakan dede utun sama ibunya sehat selamat sampe lahir aamiin",0,0,0,0,1,0,0,0
"Debat di kampus kalo berani, kalo cm monolog mah cemen 🤣",1,0,0,0,0,0,0,0
"Denger suaranya tanpa liat videonya, semalam mimpi buruk terus gak bisa tidur 😩",0,0,1,0,1,0,0,0
"Dengerin omon-omon akhirnya ngantuk datang juga, sungguh bermanfaat 👌",1,1,0,0,0,0,0,0
"Diajak diskusi ke kampus kampus gak berani, giliran bikin video mah gercep, ups lupa liat skrip sih ya 😅😅😅",1,0,0,0,0,0,0,0
Dngerin orang yg kerja aja di bantu bapak😂,1,0,0,0,0,0,0,0
"Edan bodoh skali 😂 khilafah dan negara islam kyk pakistan, iran, afganistan palestina aja sejak lama sahabatan ama cina rusia korut. Blok timur itu amrik yahud inggirs 😂😂😂 ampun dah",1,0,0,0,0,0,1,0
Enakan dengerin tob Tobi tob😅,1,0,0,0,0,0,0,0
"Entah lahhhh, hanya bisa pasrah sama yang Maha Kuasa🥹",0,0,0,0,1,0,0,0
Fokus dikomen2 nya bukan fokus isi video nya......ditunggu video2 berikutnya biar kami bisa membaca komen-komen lucu 😅😅😅,1,0,0,0,0,0,0,1
Ga berani langsung nonton karena berdua sama anak bayi di rumah 😭 maaf ya wak Nad Besok pagi deh kak nontonnya 😁,0,0,1,0,0,0,0,0
Ga sabar nunggu buat nonton nya❤,1,1,0,0,0,0,0,1
"Ga semangat , mengantuk , kurang darah , loyo siapa lagi klo bukan wapres kebanggaan kita semua 😂",1,0,0,0,0,0,0,0
"Gak kasihan kah sm anaknya?? Jejak digital gk akan hilang, aib di umbar 😮",0,0,0,1,0,0,1,0
Gakuat baca semua komen 😂😂😂😂 Hiburan banget ajg,1,0,0,0,0,0,0,0
Gapapa yg penting kita terhibur 🤣,1,1,0,0,0,0,0,0
Gibran telah sukses jadi contoh yang BURUK buat anak2 muda Indonesia 😅,0,0,0,0,0,1,0,0
"Gibrang Rakabuming Raka wapres keren! 🔥 Gausah dengerin haters pak, anda sudah bekerja dengan baik! 🙌🏽",1,1,0,0,0,0,0,1
Gila dengerin ini trus tertidur malah ketindihan😮,0,0,0,1,0,0,0,0
"Gimana??? Gimana??? AI ga akan menggantikan manusia, jadi AI bukan ancaman... Manusia yang tidak menggunakan AI akan dikalahkan oleh manusia yang menggunakan AI... Kok saya bingung ya pak 😮",0,1,0,1,0,0,0,0
"Gkpp menang, lihat hukum sosialnya ,kita gak bs apa2 karena keluarga sampeyan berkuasa, cuma ini yg bs rakyat lakuin, buat menggambarkan kekecewaan atas konstitusi yg di rusak🎉",0,0,0,0,1,0,1,0
"Greget bngt banyak dramanya, entah ini kenyataan apa gak, tpi plis BKIN greget, udh dnger aneh aneh dri depan rumah bukannya msuk kamar malah sengaja di tengok, aneh emg manusia😅😂",1,0,0,0,0,0,0,0
Gua skip video nya takut mual gua cuman tertarik baca komenan netizen 😅😅😅😅,0,0,1,0,0,0,0,1
Gue subscribe n nyalakan lonceng ja ahh biar bisa rutin liat komennya lumayan buat hiburan😂😂,1,0,0,0,0,0,0,0
Gw kesini cuma mau lihat hiburan lewat komen kalian2😂,1,0,0,0,0,0,0,0
Haha😂 lucu bingit,1,0,0,0,0,0,0,0
Hai pecinta kucing 😊,1,1,0,0,0,0,0,0
"Hebat sekali ,,klo laki² selingkuh cemohannya bukan main ,,klo hmil d luar nikah kalian² membela ....anjay mememg nitizen kengri konaha ini😂😂😂",1,0,0,0,0,1,0,0
Hehehe.... 🤣🤣🤣.. Komentarnya lucu-lucu semua.... Ini stand up ya?,1,0,0,0,0,0,0,0
"Hey kalian tuh harus bangga indonesia punya film sendiri,karena film ini masih layak kok ditonton 50 tahun yg lalu👍",1,1,0,0,0,0,0,1
Hi takut 😢😢😢😢😢😢😢,0,0,1,0,1,0,0,0
Hidup bebas .... lingkungan kerja hiburan malam .. hamil punya pacar lg .. 😮,1,0,0,1,0,0,0,0
Hina bgt Ampe duit pajak buat bot like nggak takut mati apa ya ? 😭,0,0,1,0,0,0,0,0
Hinaan terbaik untuk film berak kucing ini 😭😭 makasi pak 👍👍,0,0,0,0,1,0,0,0
Hormat suhu... 😂,1,0,0,0,0,0,0,0
Ibarat penjahat ngomongin soal berbuat kebaikan..mana ada yg percaya😂😂😂,1,0,0,0,0,0,0,0
Ingat parah manusia dungu yang iri hati dan dengki😅😅 tanpa Gibran pak prabowo pasti kalah telak.. itu fakta,0,0,0,0,0,1,1,0
Ini channel yang layak dapet tempat di algoritma YouTube. ❤️ 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 ❤️,1,1,0,0,0,0,0,1
Ink baru namanya hiburan.. 😂😂😂 bikin ketawa,1,0,0,0,0,0,0,0
"Intinya cowok ini sakit hati , pengen bales dendam . Secara ga langsung pengen ngebuat karir mbak er hancur. Semngat mbaak er ❤️",0,0,0,0,0,0,1,1
Isi komentar memperlihatkan kecintaan terhadap beliau 😂😂😂😂,1,1,0,0,0,0,0,0
"Iya, giliran udah hamil nangis minta di kasihani, ya itulah resikonya 😂",1,0,0,0,0,0,0,0
"Jangan didengerin pak, eh mas. HATERS WILL BE HATERS!!! And I hate you 👎🏼 byeeeee 🗣️",0,0,0,0,0,1,1,0
"Jujur, gw liat VT di tiktok trus penasaran, pas liat aslinya di detik ke 3 gw pause, trus lihat komentar komentarnya. Ini baru hiburan 😂😂😂😂",1,0,0,0,0,0,0,1
"Jumlah dislike ny kok disembunyikan bran gibran?? 😅😅😅😅, kau bilang tidak takut tantangan, tpi kok takut framming jelek... 🤣🤣🤣🤣🤣, banyak kali bacot kau itu bagudung.. Kau hapal dulu nama2 suku di Indonesia itu.. Baru ngomong kau bujang inam!!!",1,0,0,0,0,0,1,0
Just info bhw jumlah dislike berkali kali lipat dari jumlah like dan 90% komentar jg negatif.. Kesimpulannya: netizen kita tdk sebodoh wapresmu ya IQ 58 😅😂,0,0,0,0,0,1,0,0
"Justru bisa jadi revers psikologi, karena saking buruk nya pasti banyak yg Nonton walaupun dengan niat mencaci 😅",0,0,0,0,0,0,0,1
KASIHAN. WAPRES DI BULLY 😂,1,0,0,0,0,0,0,0
KEMBALIKAN FUFUFAFA YG BERANI MENGHUJAT PRABOWO 😅,0,0,0,0,0,0,1,0
Kak? Bahagia banget di sayang tp aku nggk prn ngerasain d sayang dr kakek atau nenek dr ibu maupun ayah🥹,1,0,0,0,1,0,0,0
Kalah di dunia Maya tapi menang di dunia nyata😅😅😅,1,0,0,0,0,0,0,0
Kalau wowo lengser berarti yang ginian penggantinya 😢 lebih parah,0,0,0,0,1,0,0,0
"Kami rakyat indonesia SAYANG DAN CINTA sama pak prabowo,,,tapi enggak dengan wapresnya 😂😂😂",1,1,0,0,0,0,0,0
Kamu lucu 😂,1,0,0,0,0,0,0,0
Kasihan banget bangsa Indonesia dapet wapres kaya bgini 😢,0,0,0,0,1,0,0,0
Kasihan sekali anak muda yang satu ini😂😂,1,0,0,0,0,0,0,0
"Kata saya sih percuma ya anda pake bot likes sampe 100k'an, rakyat ga bodoh, komennya aja rata-rata kontra ke mas wapres loh 😢",0,0,0,0,1,0,0,0
Kaum sakit hati siapapun pemimpinya akan selalu salah di mata mereka 😂😂,1,0,0,0,0,0,0,0
Kebiasaan klo bikin video pake gaya lucu dan humor biar menarik walau isiny absurd skrg so soan formal makin keliatan bocil monolog nya 😂,1,0,0,0,0,0,0,0
Kepikiran banget bikin lagu kek gini. Gila hormat banget. 😂,1,1,0,0,0,0,0,0
Kerja dicariin orang tua . Mau ngasih edukasi 😂 lawakk,1,0,0,0,0,0,0,0
Kesini cuma mau liat komen dan jumlah dislikenya. Eh ternyata dislikenya di hide. Takut banget sama fakta kalo banyak yg ga suka 🤣,0,0,1,0,0,0,0,1
Kesini cuma mau liat komentar lucu doang siapa???🤣🤣🤣 -----------> me ☝️,1,0,0,0,0,0,0,0
Kita boleh berimpati dan menghormati tokoh tapi kalau sudah main serong sama pirza harus dibasmi 😂😂😂😂,0,0,0,0,0,0,1,0
"Kita siap di berdayakan diedukasi dan disuport pemodalan oleh pemerintah, spy bisa berkembang, menyerap & mengembangkan bonus² demografi 👍 Gmn mas @USER ?.",1,1,0,0,0,0,0,1
Ko jatuh nya jadi kasihan 😂,1,0,0,0,0,0,0,0
Kok berani si sell kamu 😢,0,0,0,0,1,0,0,0
Kok ngerasa kayak lagi dengerin presentasinya anak SMA ya 😅,1,0,0,0,0,0,0,0
Komenan kenapa apda lucuu lucuuu sattt😂,1,0,0,0,0,0,0,0
Komennya ngeri amatttt woiii😭,0,0,1,1,1,0,0,0
"Komenya ngeri2 langsung ke Chanel orgnya...😂😂😂 Gw k sini nemu di x dislikenya 22,675.... selamat 😂😂🎉🎉",1,0,0,0,0,0,0,0
Kucingnya lucu banget dan ngakak😂😂😆😆,1,0,0,0,0,0,0,0
Lagu kemenangan untuk finalis OCCRP 😂,1,1,0,0,0,0,0,0
Lagu paling TAI paling GAK JELAS paling ANEH yg pernah ada dan tercipta dalam sejarah musik Indonesia yg udh maju ini 🎉,1,0,0,1,0,0,0,0
"Lahhhh....ngegasss, paham ngga apa maksudnya?lucuuu😅 ​@ @USER",1,0,0,0,0,0,0,0
Layak untuk masuk nominasi Grammy award 👍,1,1,0,0,0,0,0,1
Lebih baik mundur aja deh kalau kata gw mahh😂😂 Kasihan wapres dihujat terus😂,1,0,0,0,0,0,0,0
"Lebih seru baca komentarnya daripada lihat videonya, komennya negatif semua😂. Kaum all in ko ga ada yang mengapresiasi junjungannya. Kasihan pak wapres di bully di kandang ( akun ) nya sendiri.",0,0,0,0,0,1,0,0
Lebih seru liat komentar dari pada dengerin omongan mas gibran😂,1,0,0,0,0,0,0,0
"Leluconnya lucu sih, climate change 😂😂😂",1,0,0,0,0,0,0,0
"Lolly,mamari,erica,lina mukherjee,denis,dll. Kalian netizen terlalu menormalisasikan sampe buat yg lain ga takut untuk melakukan ini dengan dalih ""yang penting tanggung jawab"" ya Allah😌",0,0,0,0,0,1,0,0
Lucu baca komennya 🤣,1,0,0,0,0,0,0,0
Lucu bgt inii ya ampun… 😂,1,0,0,0,0,0,0,0
Lucu liat gibran😂😂,1,0,0,0,0,0,0,0
Lucunyaa❤❤,1,1,0,0,0,0,0,0
Lucuu abiiss nie😂😂😂😂👍👍👍,1,0,0,0,0,0,0,0
Maaf saya tersesat di sini..... 😢,0,0,0,0,1,0,0,0
"Maju terus Mas Gibran, anggap saja Anjing menggonggong...biasa orang indo itu klu sdh benci dan bukan pilihannya tetap cari kesalahan. Padahal dunia ini. Yg menentukan Allah mau jadi atau tdk bukan manusia 😂😂😂😂😂😂 ayo cintai produk indonesia",1,0,0,0,0,0,0,1
Mampir kemari cuma mau Lihat komen² yg lucu² 😄,1,0,0,0,0,0,0,0
"Mas waprett sedang mempermalukan dirinya sendiri. Jgn dihapus ya mas. Buat artefak sejarah.. biar dimasa depan kami belajar untuk katakan tidak pada ""kekosongan"". 😊😊",1,0,0,0,0,0,0,0
"Masih bingung sama kalimat ""AI tidak akan menggantikan manusia jadi AI itu bukan ancaman. Manusia yang tidak menggunakan AI akan kalah dengan manusia yang menggunakan AI"". 🤔",0,0,0,0,0,0,0,1
"Masih mau optimis Indonesia Maju, tapi merasa makin kesini kok kek nggk ada harapan. 😢",0,0,0,0,1,0,0,0
Masih setia sama nadiaa omara film udahh seruuu hampir semuanya udah ku nontonn🎉,1,1,0,0,0,0,0,1
Mau fokus nonton tapi setiap nonton yang horor-horor begini ada aja shorts yang tentang masak-masak 😭,0,0,1,0,0,0,0,0
Mending jgn bersosmed bran..isi komen ny ngeri ngeri 😂,1,0,0,0,0,0,0,0
Mending komunis menang😊,1,1,0,0,0,0,0,0
Mimpi buruk apa Indonesia ini... punya wapres kayak sekelas RT/RW gini...😂😂 Lebih pintar Kepling daerah rumah ku pun lagi..😅😅😅,1,0,0,0,0,0,1,0
"Mohon maaf ya..., Kualitas sangat berbanding dengan pengalaman Percayalah bang 🙏🏻",0,1,0,0,0,0,0,0
"Moral of the story, orang lebih percaya dengan apa yg dibaca di internet daripada pendapat mereka sendiri ❤😊",1,1,0,0,0,0,0,1
Mumet dengerin bacotnya😂😂😂,1,0,0,0,0,0,0,0
Namanya sih GiBran Gigih Berani eh iklannya kagak berani pake animasi😂,1,0,0,0,0,0,0,0
Nepo baby bahas bonus demografi..mau ketawa takut dosa 😅,1,0,0,0,0,0,0,0
"Ngapain kaya begini di obrolin di podcast 😅😅 Yaa lu berdua kan sama sama mau, beda kalo lu diperkosa baru dah kesel.. aneh",0,0,0,0,0,1,0,0
"Ngeri sekali wapreskuu sekarang ngomongnya udah lancar jayaa, kalau saja depan publik ngomongnya selancar ini 😍🤩",1,1,0,1,0,0,0,0
Ngeri wapres kita😂,1,0,0,0,0,0,0,0
"Ngk mau balik kesini lg 😢 Capek baca hinaan netizen, tolong mas mas yg di cari bapak nya kerja, di tutup aja akun youtube nya, ngk ada inspirasi yg di dapat 🥱🗿🥲",0,0,0,0,1,0,1,0
Ngomong apa Samsul...Fufufafa TIDAK LAYAK👎👎 jd wapres...cocoknya jd penjual MARTABAK👍👍,0,0,0,0,0,1,1,0
Ngomong opo toh😂 ra mudeng.. ngawang.. realitas nya sangat mengerikan..,0,0,1,0,0,1,0,0
Ni cewek setia bet njir Subaru aja stress mampus njir ini tahan anjir gile gile🗿,1,0,0,0,0,0,0,0
"Ningalin jejak dulu, mau nonton sekarang takut parno soalnya rumahku juga full ijo😭😭😭 Meski hijaunya hijau green screen😭😭😭",0,0,1,0,1,0,0,0
Nyumbang dislike aja biar bot ga menang 🎉,1,0,0,0,0,0,0,0
"Ohh akhirnya saya paham maksud dari kata katanya pas kampanye “Tenang saja pak Prabowo, saya sudah ada disini” ternyata artinya “Tenang pak, kalau ada saya pasti saya yang di bully bukan bapak” 🫢",0,0,0,1,0,0,0,1
"Optimis yakin sama masa depan, tapi gak yakin sama eluuuu braayy.. orang gak kompeten tapi menjabat 🥲",0,0,0,0,0,0,1,0
Orang tuli bersyukur gak bisa denger lagu ini 😭,0,0,0,0,1,0,0,0
"Orang2 pada komen, nonton sambil makan. Lah gue nonton sambil makan malah makannya jadi gak fokus 🙈 Semoga ku tydac aneh 🤣",1,0,0,0,0,0,0,0
Otaknya emang nyampe ke situ...... Ora percaya😮,0,0,0,1,0,0,0,0
PRESIDEN TERBURUK SEPANJANG SEJARAH INDONESIA JOKOWI...!!!👿👿👿👿,0,0,0,0,0,1,1,0
Padahal TERNAK MULYONO SUDAH DI KERAKHAN DARI GORONG GORONG untuk membendung komentar Hujatan dan menggantinya dengan pujian....APALAH DAYA YANG HUJAT RATUSAN RIBU😂SEDANGKAN TERNAK MULDONGO CUMA 1000😂😂,1,0,0,0,0,0,0,1
"Pak prabowo sangat jeli memilih wakilnya. Jadi presiden itu sangat²lah berat, maka dari itu pak prabowo milih dia jadi wakilnya , biar dibully setiap saat.. aman pak prabowo gak kena bully😂😂",1,1,0,0,0,0,0,0
Pak wapres sudah tau beda asam sulfat sama asam folat belum... Saya kok lebih percaya pesanan mobil esemka 6000 unit ya.. 😂,1,0,0,0,0,0,0,1
"Pantesan ya, om botak gak berani datengin dia maupun bapaknya ke podcastnya om botak (apalagi dikasih running time tanpa edit) 🤣🤣🤣🤣",1,0,0,0,0,0,0,0
Percaya ga percaya bentar lagi dia jadi presiden 😂. Cuma gatau caranya kaya apa.,1,0,0,0,0,0,0,0
"Pertama, dislike dulu. Kedua liat komen 😂 Lucu juga duta AI mengapresiasi karya animasi bangsa.",1,0,0,0,0,0,0,0
"Presiden terburuk sepanjang sejarah Indonesia 😢 setelah lengser ramai di buli dihujat sama rakyatnya, semoga damai disana ya pak Jokowi",0,0,0,0,1,0,0,0
Pupupapa kl berani ke kampus aja sono dr pd omon2 sendiri baca tek gitu 🤭 # kosong,1,0,0,0,0,0,0,0
Q masih ingat dia buat podcast Yg bawa wine 🍷 vodka yg ngobrol sambil minum beer tu Dalam hatiku Kok bangga ya bisa ngebeer sampai mabuk 😂😂😂😂 But anyway nasi dah jadi bubur ❤❤❤proud of u,1,1,0,0,0,0,0,0
SEMANGAT PAK GIBRAN....BIKIN VIDEO MONOLOG LAGI RAKYAT BUTUH HIBURAN 😂👍,1,1,0,0,0,0,0,1
Sabar bang susah emang ngomong ama dinding 😂,1,0,0,0,0,0,0,0
Sangat lucu sekali kucingnya 😄😄😄,1,0,0,0,0,0,0,0
"Saya 90% percaya video pak guru hanya cocokologi, tapi beneran konspirasi karena pak guru engak tanya langsung yg buat filmnya 😂😂",1,0,0,0,0,0,0,1
"Saya dateng kesini bukan buat isi konten nya yg kayanya sudah jelas kosong, saya cuman pengen liat komen2 nya aja, menghibur 😂",1,0,0,0,0,0,0,0
Saya selalu mendukung pak wapres Gibran dalam memimpin negara Indonesia yang kita cintai💪🏼🔥.. Tuhan menyertai pak presiden Prabowo & wapres Gibran senantiasa dalam membangun Indonesia maju🔥😇,1,1,0,0,0,0,0,1
Saya sprti mimpi disiang bolong punya wapres model begini😢😢ngeriii indonesia ini makin kronis,0,0,1,0,0,0,1,0
"Sehat selalu Mas Wapres, biarkan para pembencimu abadi sakitnya sepanjang masa, sakit hati seumur hidup 😃",1,0,0,0,0,0,1,0
"Sela berani banget cuy, kalo aku mending lari wes😂",1,0,0,0,0,0,0,0
Semanagat mas gibran mengedukasi masyarakat dengan berbagai materi yang dapat memperluas wawasaan kita sebagai masyarakat untuk menjadi manusia2 yg berkualitas menuju Indonesia yang maju.👍👍,1,1,0,0,0,0,0,1
Semangat ka erika... Q ttp bangga karna ka erika bersedia ttp menjaga bayinya... Semoga ka erika sama bayinya ttp sehat dan bahagia.. ❤❤❤,1,1,0,0,0,0,0,1
"Semenjak indonesia merdeka, baru kali ini mempunyai wapres IQ kecerdasannya melebihi rata², sehingga sulit dicerna oleh akal sehat setiap pemaparannya. 😮😮😮😮",0,0,0,1,0,0,0,0
Semoga koment nya gak d hapus ya. Karena lucu bgt. 🤣🤣🤣,1,1,0,0,0,0,0,0
Semoga sehat dan bahagia selalu ❤❤❤SELURUH INDONESIA,1,1,0,0,0,0,0,1
"Sempet-sempetnya ngonten, mau cari sensasi & simpati msy kah? 😅 biar apasih gini-gini tuh?!",1,0,0,0,0,0,0,0
"Serem sih ini ceritanya, dan shella ini kok berani banget. Kalo aku mgkn udah gak pernah nginep lagi kali, maen aja udah was-was 😅, dasar penakut sih akuu 🤭. Hebat ih si shella 👍",0,0,1,1,0,0,0,0
"Serius amat,, tapi kok lucu...😂😂",1,0,0,0,0,0,0,0
"Setelah dengar lagu ini seketika saya jadi merinding,saya kedinginan spontan seketika ingat kejujuran kejujuran yg telah diutarakan beliau,😮 terimakasih pencipta dan penyanyi lagu",1,1,0,1,0,0,0,1
"Setelah doi terpilih, ternyata kiyai ma'euf gak buruk2 amat, minimal pak yai menerapkan filosofi diam itu emas😂, kalo gak ngerti mending diem 😅😂",1,1,0,0,0,0,0,0
"Setuju pak Gibran terus maju demi bangsa dan negara,,, indahkan kritik kritik dari luar salam dari Maluku utara❤❤🙏🙏💪💪",1,1,0,0,0,0,0,1
"Setuju, lucu juga itu, siapa tau ada poci yg mau ikut lomba panjat pinang 😂",1,0,0,0,0,0,0,0
"Siapa disini klw mau tidur siang suka dengerin vidio"" Nadia omara lama"" ketiduran🤭",1,0,0,0,0,0,0,0
"Sibuk banget bg pada komentar negative, gak dibayangjn kalo yg jadi paslon 01/03 bg, gimana makin hancurnya negara ini🤣🤣🤣, dari buruknya kebijakan paslon 02, faktanya ini yg terbaik diantara paslon yg lain, jejak digital ada😅",0,0,1,0,1,0,1,1
Slow zinah anah ntr dosanya ditebus 😂 ceuk maranehna mah,1,0,0,0,0,0,0,0
Sukses selalu Pak Wapres. Calon Presiden ku seperti Bapaknya yang dicintai ❤,1,1,0,0,0,0,0,1
Sumpah lucuuuuu😂😂😂😂😂,1,0,0,0,0,0,0,0
Takut tpi nonton malem2😭😭😫,0,0,1,0,0,0,0,0
"Tapi aku juga punya temen, dia bisa ngelihat kek gitu dia juga takut tapi dia juga kepoan orangnya 😂 persisi kaya tokoh utama di film horor gitu pokoknya udah tau penakut tapi kepoan banget,",0,0,1,0,0,0,0,1
Teelucu sepanjang sejarah?? 😃😃😃,1,0,0,0,0,0,0,0
"Teman teman, ini robot terbaru Menggantikan robot yang lama. 😢😅",0,0,0,0,1,0,0,0
"Tenang saja, sy sdh ada disini😅",1,0,0,0,0,0,0,0
